Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Shane Battier\battish01,SG,30,HOU,60,59,33.9,2.4,5.9,.410,1.5,4.0,.384,0.9,2.0,.462,.538,0.9,1.1,.821,0.9,3.9,4.8,2.3,0.8,0.9,0.8,1.9,7.3
Nicolas Batum\batumni01,SF,20,POR,79,76,18.4,2.0,4.6,.446,0.8,2.1,.369,1.3,2.4,.513,.532,0.5,0.7,.808,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4
Jerryd Bayless\bayleje01,PG,20,POR,53,0,12.4,1.3,3.6,.365,0.1,0.5,.259,1.2,3.1,.383,.384,1.6,1.9,.806,0.2,0.9,1.1,1.5,0.3,0.0,1.1,1.5,4.3
Michael Beasley\beaslmi01,PF,20,MIA,81,19,24.8,5.6,11.8,.472,0.4,1.0,.407,5.2,10.8,.478,.490,2.3,3.0,.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9
Marco Belinelli\belinma01,SG,22,GSW,42,23,21.0,3.3,7.5,.442,1.2,3.1,.397,2.1,4.4,.473,.524,1.0,1.2,.769,0.2,1.5,1.7,2.1,0.9,0.0,1.4,1.7,8.9
Charlie Bell\bellch01,SG,29,MIL,70,23,25.5,3.1,7.5,.414,1.2,3.4,.363,1.9,4.1,.458,.497,0.9,1.1,.825,0.5,1.5,1.9,2.2,0.7,0.1,1.1,2.0,8.4
Raja Bell\bellra01,SG,32,TOT,67,66,34.6,4.5,10.2,.437,1.7,4.0,.421,2.8,6.2,.448,.520,1.3,1.5,.853,0.6,3.0,3.6,2.1,0.7,0.1,1.3,2.5,11.9
Raja Bell\bellra01,SG,32,PHO,22,22,32.4,3.5,8.0,.429,2.0,4.3,.468,1.5,3.8,.386,.554,0.7,1.0,.762,0.4,2.5,2.9,1.3,0.6,0.1,0.8,2.6,9.6
Raja Bell\bellra01,SG,32,CHA,45,44,35.6,5.0,11.3,.440,1.6,3.9,.395,3.4,7.3,.464,.509,1.6,1.8,.877,0.7,3.2,4.0,2.5,0.8,0.1,1.5,2.4,13.0
Mike Bibby\bibbymi01,PG,30,ATL,79,79,34.7,5.5,12.7,.435,2.1,5.4,.390,3.4,7.3,.468,.518,1.7,2.2,.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,1.8,14.9
Andris Biedrins\biedran01,C,22,GSW,62,58,30.0,5.0,8.6,.578,0.0,0.0,.000,5.0,8.6,.579,.578,1.9,3.5,.551,3.6,7.6,11.2,2.0,1.0,1.5,1.8,3.8,11.9
Chauncey Billups\billuch01,PG,32,TOT,79,79,35.3,5.2,12.4,.418,2.1,5.0,.408,3.1,7.4,.425,.501,5.3,5.8,.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.0,17.7
Chauncey Billups\billuch01,PG,32,DET,2,2,35.0,3.5,10.5,.333,1.0,3.5,.286,2.5,7.0,.357,.381,4.5,5.0,.900,0.5,4.5,5.0,7.5,1.5,0.5,2.0,1.5,12.5
Chauncey Billups\billuch01,PG,32,DEN,77,77,35.3,5.2,12.5,.420,2.1,5.1,.410,3.2,7.4,.427,.504,5.3,5.8,.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.1,17.9
Steve Blake\blakest01,PG,28,POR,69,69,31.7,4.0,9.4,.428,2.0,4.8,.427,2.0,4.6,.429,.536,0.9,1.1,.840,0.4,2.1,2.5,5.0,1.0,0.1,1.6,1.8,11.0
Andray Blatche\blatcan01,C,22,WAS,71,36,24.0,4.2,8.9,.471,0.1,0.3,.238,4.1,8.6,.479,.475,1.6,2.3,.704,1.8,3.5,5.3,1.7,0.7,1.0,1.6,3.0,10.0
Mark Blount\blounma01,C,33,MIA,20,0,10.4,1.5,3.9,.385,0.6,1.4,.407,1.0,2.6,.373,.455,0.4,0.7,.615,0.5,1.6,2.1,0.2,0.1,0.4,0.7,0.9,4.0
Keith Bogans\boganke01,SG,28,TOT,65,15,19.6,1.8,5.0,.367,1.1,3.4,.339,0.7,1.6,.425,.481,0.8,0.9,.912,0.5,2.6,3.1,1.0,0.7,0.1,0.6,1.6,5.6
Keith Bogans\boganke01,SG,28,ORL,36,15,21.9,1.8,4.9,.360,1.2,3.5,.333,0.6,1.4,.429,.480,0.6,0.7,.875,0.4,2.7,3.1,0.9,0.6,0.1,0.5,1.7,5.3
Keith Bogans\boganke01,SG,28,MIL,29,0,16.7,1.9,5.1,.376,1.1,3.2,.348,0.8,2.0,.421,.483,1.1,1.1,.939,0.6,2.6,3.1,1.1,0.7,0.1,0.8,1.5,6.0
Andrew Bogut\bogutan01,C,24,MIL,36,33,31.2,5.1,8.8,.577,0.0,0.0,,5.1,8.8,.577,.577,1.6,2.7,.571,3.3,7.0,10.3,2.0,0.6,1.0,2.4,3.6,11.7
Matt Bonner\bonnema01,PF,28,SAS,81,67,23.8,3.3,6.6,.496,1.5,3.3,.440,1.8,3.3,.552,.606,0.2,0.3,.739,1.2,3.6,4.8,1.0,0.6,0.3,0.5,2.3,8.2
Josh Boone\boonejo01,C,24,NJN,62,7,16.0,1.8,3.5,.528,0.0,0.0,,1.8,3.5,.528,.528,0.5,1.4,.376,1.7,2.5,4.2,0.5,0.4,0.8,0.5,1.7,4.2
Calvin Booth\boothca01,C,32,TOT,8,0,7.0,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.8,1.0,.750,0.6,0.8,1.4,0.0,0.1,0.3,0.1,1.3,2.0
Calvin Booth\boothca01,C,32,MIN,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Booth\boothca01,C,32,SAC,7,0,7.9,0.7,1.4,.500,0.0,0.0,,0.7,1.4,.500,.500,0.9,1.1,.750,0.6,0.9,1.4,0.0,0.1,0.3,0.1,1.4,2.3
Carlos Boozer\boozeca01,PF,27,UTA,37,37,32.4,6.8,13.8,.490,0.0,0.0,,6.8,13.8,.490,.490,2.6,3.8,.698,3.0,7.4,10.4,2.1,1.1,0.2,2.1,3.6,16.2
Chris Bosh\boshch01,C,24,TOR,77,77,38.0,8.0,16.4,.487,0.2,0.6,.245,7.8,15.8,.497,.492,6.5,8.0,.817,2.8,7.2,10.0,2.5,0.9,1.0,2.3,2.5,22.7
Bruce Bowen\bowenbr01,SF,37,SAS,80,10,18.8,1.0,2.3,.422,0.5,1.2,.429,0.5,1.1,.416,.535,0.2,0.3,.538,0.2,1.6,1.8,0.5,0.5,0.2,0.3,1.5,2.7
Ryan Bowen\bowenry01,SF,33,NOH,21,3,10.4,1.0,1.8,.579,0.0,0.0,,1.0,1.8,.579,.579,0.1,0.2,.600,0.5,0.7,1.1,0.4,0.7,0.2,0.2,1.8,2.2
Elton Brand\brandel01,PF,29,PHI,29,23,31.7,5.6,12.6,.447,0.0,0.0,,5.6,12.6,.447,.447,2.5,3.7,.676,2.7,6.1,8.8,1.3,0.6,1.6,2.3,2.7,13.8
Corey Brewer\breweco01,SF,22,MIN,15,8,20.5,2.5,6.0,.411,0.3,0.8,.417,2.1,5.2,.410,.439,0.9,1.3,.737,1.2,2.1,3.3,1.7,1.0,0.2,0.9,2.5,6.2
Ronnie Brewer\brewero02,SF,23,UTA,81,80,32.2,5.2,10.2,.508,0.3,1.0,.259,4.9,9.2,.537,.522,3.0,4.3,.702,1.2,2.5,3.7,2.2,1.7,0.4,1.4,1.6,13.7
Aaron Brooks\brookaa01,PG,24,HOU,80,35,25.0,4.0,9.8,.404,1.4,3.9,.366,2.5,5.9,.428,.476,1.9,2.2,.866,0.4,1.6,2.0,3.0,0.6,0.1,1.6,1.9,11.2
Andre Brown\brownan01,PF,27,CHA,4,0,10.3,0.3,1.8,.143,0.0,0.0,,0.3,1.8,.143,.143,0.5,0.5,1.000,1.8,1.3,3.0,0.3,0.3,0.0,1.3,2.3,1.0
Bobby Brown\brownbo02,SG-PG,24,TOT,68,2,13.7,2.1,5.3,.392,0.7,1.9,.346,1.4,3.4,.417,.454,0.5,0.6,.791,0.2,0.6,0.8,1.7,0.3,0.0,0.9,1.4,5.3
Bobby Brown\brownbo02,SG,24,SAC,47,1,14.4,2.0,5.3,.381,0.7,2.0,.330,1.3,3.3,.412,.443,0.6,0.7,.765,0.2,0.6,0.8,1.9,0.3,0.0,1.0,1.6,5.2
Bobby Brown\brownbo02,PG,24,MIN,21,1,12.2,2.2,5.4,.416,0.7,1.7,.389,1.6,3.7,.429,.478,0.4,0.4,.889,0.3,0.5,0.8,1.4,0.3,0.1,0.8,1.0,5.5
Dee Brown\brownde03,PG,24,TOT,19,11,13.7,0.9,2.6,.367,0.4,1.3,.292,0.6,1.3,.440,.439,0.2,0.3,.600,0.4,1.2,1.5,1.9,0.5,0.0,0.9,1.5,2.4
Dee Brown\brownde03,PG,24,WAS,17,11,13.7,1.0,2.6,.386,0.4,1.2,.300,0.6,1.4,.458,.455,0.1,0.2,.333,0.4,1.2,1.6,1.9,0.6,0.0,0.8,1.3,2.4
Dee Brown\brownde03,PG,24,PHO,2,0,14.0,0.5,2.5,.200,0.5,2.0,.250,0.0,0.5,.000,.300,1.0,1.0,1.000,0.0,0.5,0.5,1.5,0.0,0.0,1.5,3.0,2.5
Devin Brown\brownde02,SG,30,NOH,63,5,13.8,1.8,5.0,.355,0.4,1.5,.289,1.3,3.4,.384,.399,1.2,1.6,.780,0.5,1.4,1.9,0.9,0.5,0.1,0.9,1.3,5.2
Kwame Brown\brownkw01,C,26,DET,58,30,17.2,1.6,2.9,.533,0.0,0.0,,1.6,2.9,.533,.533,1.1,2.1,.516,1.6,3.4,5.0,0.6,0.4,0.4,0.9,2.4,4.2
Shannon Brown\brownsh01,SG,23,TOT,48,0,9.9,1.6,3.4,.473,0.3,0.8,.378,1.3,2.7,.500,.515,0.7,0.8,.821,0.2,0.7,0.9,0.8,0.5,0.1,0.8,0.9,4.2
Shannon Brown\brownsh01,SG,23,CHA,30,0,11.4,1.9,4.1,.455,0.3,0.9,.286,1.6,3.2,.505,.488,0.8,1.0,.800,0.3,0.5,0.8,0.9,0.6,0.2,1.0,1.1,4.8
Shannon Brown\brownsh01,SG,23,LAL,18,0,7.6,1.2,2.3,.524,0.3,0.5,.667,0.9,1.8,.485,.595,0.4,0.5,.889,0.2,0.9,1.1,0.6,0.2,0.1,0.5,0.5,3.2
Kobe Bryant\bryanko01,SG,30,LAL,82,82,36.1,9.8,20.9,.467,1.4,4.1,.351,8.3,16.8,.496,.502,5.9,6.9,.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8
Greg Buckner\buckngr01,SF,32,MEM,63,0,13.9,1.0,2.5,.384,0.2,0.8,.255,0.8,1.7,.444,.425,0.3,0.4,.800,0.5,1.6,2.1,0.9,0.5,0.1,0.6,1.7,2.5
Caron Butler\butleca01,SG,28,WAS,67,67,38.6,7.3,16.2,.453,1.0,3.1,.310,6.4,13.1,.487,.482,5.1,6.0,.858,1.8,4.4,6.2,4.3,1.6,0.3,3.1,2.5,20.8
Rasual Butler\butlera01,SF,29,NOH,82,74,31.9,4.2,9.8,.433,1.7,4.4,.390,2.5,5.4,.468,.521,1.0,1.3,.782,0.6,2.7,3.3,0.9,0.6,0.7,0.7,1.9,11.2
Andrew Bynum\bynuman01,C,21,LAL,50,50,28.9,5.6,10.0,.560,0.0,0.0,,5.6,10.0,.560,.560,3.0,4.3,.707,2.7,5.2,8.0,1.4,0.4,1.8,1.7,3.1,14.3
Will Bynum\bynumwi01,PG,26,DET,57,1,14.1,2.7,6.0,.456,0.1,0.3,.158,2.7,5.7,.474,.461,1.7,2.1,.798,0.3,1.0,1.3,2.8,0.6,0.0,1.3,1.5,7.2
Jose Calderon\caldejo01,PG,27,TOR,68,68,34.3,4.7,9.5,.497,1.2,3.0,.406,3.5,6.5,.538,.561,2.2,2.3,.981,0.2,2.6,2.9,8.9,1.1,0.1,2.1,1.7,12.8
Marcus Camby\cambyma01,C,34,LAC,62,55,31.0,4.1,8.0,.512,0.0,0.1,.250,4.1,7.9,.514,.513,2.1,2.9,.725,2.6,8.5,11.1,2.0,0.8,2.1,1.5,2.1,10.3
Brian Cardinal\cardibr01,PF,31,MIN,64,4,14.2,1.0,2.6,.385,0.5,1.4,.326,0.5,1.2,.455,.473,0.5,0.5,.857,0.6,1.6,2.2,1.2,0.6,0.2,0.8,2.1,3.0
Rodney Carney\carnero01,SG,24,MIN,67,6,17.9,2.6,6.3,.416,1.2,3.4,.350,1.4,2.9,.492,.509,0.7,1.0,.758,0.5,1.3,1.9,0.4,0.7,0.4,0.6,1.4,7.2
Matt Carroll\carroma01,SG,28,TOT,55,10,11.2,1.2,3.1,.380,0.2,1.0,.245,0.9,2.1,.441,.418,0.4,0.5,.840,0.1,1.1,1.3,0.5,0.4,0.1,0.6,1.2,3.0
Matt Carroll\carroma01,SG,28,CHA,34,10,14.0,1.6,4.1,.406,0.4,1.3,.267,1.3,2.7,.473,.449,0.4,0.6,.789,0.1,1.5,1.6,0.7,0.5,0.1,0.8,1.6,4.1
Matt Carroll\carroma01,SG,28,DAL,21,0,6.7,0.4,1.6,.273,0.0,0.4,.125,0.4,1.2,.320,.288,0.3,0.3,1.000,0.1,0.6,0.7,0.1,0.1,0.0,0.3,0.7,1.2
Anthony Carter\cartean01,PG,33,DEN,78,5,22.9,2.1,4.9,.433,0.3,1.1,.239,1.9,3.8,.490,.460,0.7,1.0,.731,0.5,2.1,2.6,4.7,1.2,0.2,2.0,1.8,5.3
Vince Carter\cartevi01,SG,32,NJN,80,80,36.8,7.4,16.8,.437,1.9,4.9,.385,5.5,11.9,.459,.493,4.2,5.1,.817,0.9,4.2,5.1,4.7,1.0,0.5,2.1,2.9,20.8
Mario Chalmers\chalmma01,PG,22,MIA,82,82,32.0,3.4,8.1,.420,1.4,3.8,.367,2.0,4.3,.467,.506,1.8,2.4,.767,0.5,2.3,2.8,4.9,2.0,0.1,2.0,2.9,10.0
Tyson Chandler\chandty01,C,26,NOH,45,45,32.1,3.6,6.3,.565,0.0,0.0,,3.6,6.3,.565,.565,1.7,3.0,.579,3.6,5.1,8.7,0.5,0.3,1.2,1.6,3.2,8.8
Wilson Chandler\chandwi01,SF,21,NYK,82,70,33.4,5.5,12.9,.432,1.3,3.8,.328,4.3,9.0,.476,.481,2.1,2.6,.795,1.1,4.3,5.4,2.1,0.9,0.9,1.7,3.0,14.4
Speedy Claxton\claxtsp01,PG,30,ATL,2,0,7.5,1.0,3.5,.286,0.0,0.0,,1.0,3.5,.286,.286,0.5,1.0,.500,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,2.5
Jarron Collins\collija03,C,30,UTA,26,3,7.7,0.6,1.3,.457,0.0,0.0,,0.6,1.3,.457,.457,0.3,0.4,.727,0.8,0.7,1.4,0.3,0.1,0.0,0.3,1.3,1.5
Jason Collins\collija04,C,30,MIN,31,22,13.6,0.7,2.3,.314,0.0,0.0,,0.7,2.3,.314,.314,0.4,0.9,.464,0.9,1.4,2.3,0.4,0.3,0.4,0.4,2.4,1.8
Mardy Collins\collima01,PG-SG,24,TOT,48,14,18.5,2.2,5.1,.425,0.3,0.6,.419,1.9,4.5,.426,.451,0.6,1.0,.609,0.6,1.6,2.2,2.3,0.6,0.2,1.2,1.7,5.2
Mardy Collins\collima01,SG,24,NYK,9,0,8.3,0.9,2.6,.348,0.0,0.3,.000,0.9,2.2,.400,.348,0.4,1.0,.444,0.2,0.7,0.9,1.1,0.2,0.0,0.6,0.8,2.2
Mardy Collins\collima01,PG,24,LAC,39,14,20.9,2.5,5.7,.433,0.3,0.7,.464,2.2,5.0,.429,.462,0.6,0.9,.649,0.7,1.8,2.5,2.6,0.7,0.3,1.4,1.9,5.9
Nick Collison\collini01,C,28,OKC,71,40,25.8,3.4,6.0,.568,0.0,0.0,.000,3.4,6.0,.570,.568,1.4,1.9,.721,2.5,4.3,6.9,0.9,0.7,0.7,1.0,3.4,8.2
Mike Conley\conlemi01,PG,21,MEM,82,61,30.6,3.9,8.9,.442,1.1,2.6,.406,2.9,6.3,.458,.503,2.0,2.4,.817,0.3,3.1,3.4,4.3,1.1,0.1,1.7,1.8,10.9
Brian Cook\cookbr01,PF,28,TOT,30,0,5.7,0.9,2.5,.368,0.4,1.0,.433,0.5,1.5,.326,.454,0.2,0.2,.833,0.2,0.8,1.1,0.2,0.1,0.1,0.4,0.9,2.5
Brian Cook\cookbr01,PF,28,ORL,21,0,7.0,1.1,2.9,.383,0.5,1.2,.440,0.6,1.7,.343,.475,0.2,0.3,.833,0.3,1.0,1.3,0.2,0.1,0.0,0.5,1.1,3.0
Brian Cook\cookbr01,PF,28,HOU,9,0,2.8,0.6,1.8,.313,0.2,0.6,.400,0.3,1.2,.273,.375,0.0,0.0,,0.1,0.4,0.6,0.1,0.0,0.3,0.2,0.3,1.3
Daequan Cook\cookda02,SF,21,MIA,75,4,24.4,3.2,8.6,.375,2.0,5.3,.387,1.2,3.3,.356,.494,0.7,0.7,.875,0.3,2.3,2.5,0.9,0.5,0.1,0.6,1.7,9.1
Jamal Crawford\crawfja01,PG-SG,28,TOT,65,65,38.1,6.4,15.7,.410,2.2,6.1,.360,4.3,9.7,.441,.479,4.6,5.3,.872,0.4,2.6,3.0,4.4,0.9,0.2,2.3,1.4,19.7
Jamal Crawford\crawfja01,SG,28,NYK,11,11,35.6,6.6,15.4,.432,3.2,7.0,.455,3.5,8.4,.413,.536,3.2,4.2,.761,0.2,1.4,1.5,4.4,0.8,0.0,2.4,1.2,19.6
Jamal Crawford\crawfja01,PG,28,GSW,54,54,38.6,6.4,15.8,.406,2.0,5.9,.338,4.4,9.9,.446,.468,4.9,5.5,.889,0.4,2.9,3.3,4.4,0.9,0.2,2.3,1.5,19.7
Joe Crawford\crawfjo01,SF,22,NYK,2,0,11.5,1.5,5.0,.300,0.5,2.0,.250,1.0,3.0,.333,.350,1.0,1.0,1.000,0.5,1.5,2.0,0.5,0.5,0.0,0.0,1.0,4.5
Javaris Crittenton\crittja01,PG-SG,21,TOT,63,10,18.6,2.1,4.5,.460,0.0,0.2,.133,2.0,4.3,.478,.463,0.8,1.5,.576,0.9,1.7,2.6,2.4,0.6,0.1,1.3,1.6,5.0
Javaris Crittenton\crittja01,SG,21,MEM,7,0,6.3,1.0,2.1,.467,0.0,0.1,.000,1.0,2.0,.500,.467,0.7,1.6,.455,0.6,0.3,0.9,0.7,0.1,0.0,0.4,0.7,2.7
Javaris Crittenton\crittja01,PG,21,WAS,56,10,20.2,2.2,4.8,.459,0.0,0.3,.143,2.2,4.6,.477,.463,0.9,1.4,.593,0.9,1.9,2.9,2.6,0.7,0.1,1.4,1.7,5.3
Austin Croshere\croshau01,PF,33,TOT,14,0,7.1,1.0,2.8,.359,0.4,1.1,.333,0.6,1.7,.375,.423,0.5,0.9,.583,0.8,1.6,2.4,0.6,0.1,0.1,0.4,0.4,2.9
Austin Croshere\croshau01,PF,33,MIL,11,0,7.0,1.1,2.7,.400,0.5,1.0,.455,0.6,1.7,.368,.483,0.6,1.0,.636,0.6,1.5,2.2,0.5,0.1,0.1,0.4,0.4,3.3
Austin Croshere\croshau01,PF,33,SAS,3,0,7.7,0.7,3.0,.222,0.0,1.3,.000,0.7,1.7,.400,.222,0.0,0.3,.000,1.3,2.0,3.3,1.0,0.0,0.0,0.7,0.3,1.3
Eddy Curry\curryed01,C,26,NYK,3,0,4.0,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.3,1.0,.333,0.0,1.3,1.3,0.0,0.0,0.0,0.7,1.7,1.7
Samuel Dalembert\dalemsa01,C,27,PHI,82,82,24.8,2.6,5.3,.498,0.0,0.0,.000,2.6,5.3,.500,.498,1.1,1.5,.734,2.6,5.9,8.5,0.2,0.4,1.8,1.4,3.0,6.4
Erick Dampier\dampier01,C,33,DAL,80,80,23.0,2.3,3.5,.650,0.0,0.0,,2.3,3.5,.650,.650,1.1,1.8,.638,2.7,4.4,7.1,1.0,0.3,1.2,0.9,2.4,5.7
Antonio Daniels\daniean01,PG,33,TOT,74,9,13.8,1.3,3.2,.419,0.3,0.8,.367,1.0,2.4,.438,.466,1.1,1.4,.800,0.1,1.0,1.0,2.4,0.4,0.0,0.8,0.7,4.1
Antonio Daniels\daniean01,PG,33,WAS,13,5,22.2,1.4,3.5,.400,0.4,0.8,.455,1.0,2.6,.382,.456,1.9,2.5,.758,0.0,1.7,1.7,3.6,0.5,0.0,1.0,1.1,5.1
Antonio Daniels\daniean01,PG,33,NOH,61,4,12.0,1.3,3.1,.424,0.3,0.8,.347,1.0,2.3,.451,.469,0.9,1.1,.821,0.1,0.8,0.9,2.1,0.3,0.0,0.8,0.7,3.8
Marquis Daniels\daniema01,SF,28,IND,54,43,31.5,5.8,12.8,.451,0.3,1.7,.200,5.4,11.1,.489,.464,1.7,2.4,.721,1.5,3.1,4.6,2.1,1.1,0.5,1.7,2.2,13.6
Jermareo Davidson\davidje01,SF,24,GSW,14,0,7.9,1.2,2.5,.486,0.0,0.0,,1.2,2.5,.486,.486,0.6,1.2,.471,0.7,1.7,2.4,0.1,0.1,0.2,0.4,0.9,3.0
Baron Davis\davisba01,PG,29,LAC,65,60,34.6,5.5,14.8,.370,1.5,5.0,.302,3.9,9.7,.406,.422,2.4,3.2,.757,0.7,3.0,3.7,7.7,1.7,0.5,3.0,3.0,14.9
Glen Davis\davisgl01,C,23,BOS,76,16,21.5,2.6,5.9,.442,0.0,0.1,.400,2.6,5.9,.443,.444,1.7,2.3,.730,1.6,2.4,4.0,0.9,0.7,0.3,0.9,3.0,7.0
Paul Davis\davispa01,PF,24,LAC,27,1,11.9,1.5,3.6,.408,0.0,0.0,.000,1.5,3.6,.412,.408,1.0,1.3,.794,1.0,1.4,2.5,0.4,0.4,0.1,0.5,1.6,4.0
Ricky Davis\davisri01,SG,29,LAC,36,9,21.8,2.3,6.8,.339,1.0,3.1,.315,1.3,3.7,.358,.410,0.9,1.0,.861,0.3,1.4,1.7,2.3,0.5,0.1,1.1,1.8,6.4
Luol Deng\denglu01,SF,23,CHI,49,46,34.0,5.4,12.1,.448,0.2,0.4,.400,5.2,11.7,.450,.455,3.1,3.9,.796,1.6,4.4,6.0,1.9,1.2,0.5,1.5,1.7,14.1
Boris Diaw\diawbo01,PF,26,TOT,81,59,34.0,5.5,10.9,.507,0.9,2.2,.414,4.6,8.7,.531,.549,1.2,1.8,.687,1.5,3.9,5.3,4.1,0.8,0.7,2.7,2.5,13.2
Boris Diaw\diawbo01,PF,26,PHO,22,0,24.5,3.6,6.4,.567,0.2,0.6,.357,3.4,5.8,.591,.585,0.8,1.2,.692,1.1,2.7,3.8,2.1,0.5,0.4,1.7,1.8,8.3
Boris Diaw\diawbo01,PF,26,CHA,59,59,37.6,6.2,12.6,.495,1.2,2.8,.419,5.1,9.8,.517,.542,1.4,2.1,.686,1.6,4.3,5.9,4.9,0.8,0.7,3.0,2.8,15.1
Yakhouba Diawara\diawaya01,SF,26,MIA,63,21,13.5,1.2,3.4,.350,0.8,2.6,.313,0.4,0.9,.463,.468,0.2,0.3,.526,0.4,0.9,1.3,0.4,0.2,0.1,0.3,1.2,3.4
Travis Diener\dienetr01,PG,26,IND,55,0,13.1,1.3,3.3,.413,0.8,2.1,.390,0.5,1.1,.459,.542,0.2,0.3,.800,0.1,1.5,1.6,2.2,0.5,0.1,0.4,0.8,3.7
Ike Diogu\dioguik01,PF,25,TOT,29,1,7.4,1.3,2.6,.527,0.0,0.1,.500,1.3,2.5,.528,.534,1.4,1.8,.755,0.9,1.0,1.9,0.1,0.1,0.1,0.4,0.8,4.1
Ike Diogu\dioguik01,PF,25,POR,19,0,3.8,0.3,1.0,.316,0.0,0.0,,0.3,1.0,.316,.316,0.8,1.1,.750,0.6,0.3,0.9,0.0,0.1,0.1,0.3,0.5,1.4
Ike Diogu\dioguik01,PF,25,SAC,10,1,14.2,3.3,5.5,.600,0.1,0.2,.500,3.2,5.3,.604,.609,2.5,3.3,.758,1.4,2.5,3.9,0.3,0.2,0.1,0.6,1.4,9.2
DeSagana Diop\diopde01,C,27,TOT,75,1,13.8,1.0,2.3,.433,0.0,0.0,,1.0,2.3,.433,.433,0.3,0.9,.333,1.5,2.1,3.6,0.4,0.4,0.7,0.5,1.7,2.3
DeSagana Diop\diopde01,C,27,DAL,34,0,13.3,0.6,1.7,.379,0.0,0.0,,0.6,1.7,.379,.379,0.4,0.9,.414,1.3,2.1,3.5,0.4,0.4,0.7,0.3,1.6,1.6
DeSagana Diop\diopde01,C,27,CHA,41,1,14.2,1.3,2.8,.460,0.0,0.0,,1.3,2.8,.460,.460,0.2,0.9,.270,1.7,2.1,3.8,0.5,0.4,0.8,0.7,1.8,2.8
Juan Dixon\dixonju01,PG,30,WAS,50,6,16.3,2.0,5.1,.395,0.5,1.5,.333,1.5,3.6,.420,.443,0.7,0.8,.872,0.2,1.2,1.3,2.4,0.7,0.1,1.4,1.5,5.2
Keyon Dooling\doolike01,PG,28,NJN,77,18,26.9,3.4,7.8,.436,1.3,3.1,.421,2.1,4.7,.446,.519,1.6,2.0,.825,0.3,1.7,2.0,3.5,0.9,0.1,1.4,1.8,9.7
Joey Dorsey\dorsejo01,PF,25,HOU,3,0,2.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.7
Quincy Douby\doubyqu01,PG,24,TOT,27,0,11.1,1.6,4.1,.382,0.5,1.7,.304,1.0,2.4,.438,.445,0.6,0.7,.895,0.2,1.0,1.2,0.9,0.2,0.2,0.5,1.0,4.3
Quincy Douby\doubyqu01,PG,24,SAC,20,0,11.4,1.5,4.4,.341,0.5,1.9,.270,1.0,2.6,.392,.398,0.7,0.8,.933,0.2,1.1,1.3,0.7,0.1,0.3,0.3,1.2,4.2
Quincy Douby\doubyqu01,PG,24,TOR,7,0,10.4,1.7,3.1,.545,0.6,1.3,.444,1.1,1.9,.615,.636,0.4,0.6,.750,0.4,0.6,1.0,1.7,0.4,0.0,1.0,0.6,4.4
Chris Douglas-Roberts\douglch01,SG,22,NJN,44,3,13.3,1.8,4.0,.460,0.1,0.3,.250,1.8,3.7,.476,.469,1.2,1.4,.823,0.3,0.8,1.1,1.2,0.3,0.2,0.7,0.8,4.9
Goran Dragic\dragigo01,PG,22,PHO,55,1,13.2,1.6,4.1,.393,0.4,1.0,.370,1.2,3.1,.400,.438,0.9,1.2,.769,0.6,1.3,1.9,2.0,0.5,0.1,1.3,1.6,4.5
Jared Dudley\dudleja01,SF,23,TOT,68,7,17.0,2.0,4.2,.477,0.4,1.1,.392,1.6,3.1,.507,.528,1.0,1.5,.676,1.2,1.8,3.0,0.8,0.8,0.1,0.6,1.5,5.5
Jared Dudley\dudleja01,SF,23,CHA,20,7,21.4,2.3,4.8,.469,0.2,0.4,.375,2.1,4.4,.477,.484,0.8,1.2,.625,1.3,1.7,3.0,1.0,0.9,0.1,0.5,2.0,5.4
Jared Dudley\dudleja01,SF,23,PHO,48,0,15.2,1.9,3.9,.481,0.5,1.4,.394,1.4,2.6,.528,.550,1.2,1.7,.691,1.2,1.9,3.0,0.8,0.8,0.1,0.7,1.4,5.5
Chris Duhon\duhonch01,PG,26,NYK,79,78,36.8,3.6,8.6,.421,1.6,4.1,.391,2.0,4.5,.449,.515,2.3,2.6,.856,0.6,2.5,3.1,7.2,0.9,0.1,2.8,1.6,11.1
